Country;Year_survey;Index;Headcount_(%);Intensity_of_deprivation;Number_of_poor_(year_of_survey);Number_of_poor_2016;Population_vulnerable_to_multidimensional_poverty;Population_in_severe_multidimensional_poverty ;Contribution of depr (Health);Contribution of depr (Education);Contribution of depr (Standard of living)
Niger;2012 D;0,5914328100;90,5860900900;65,2895808200;16062,3948600000;18726,8496100000;4,9924254420;74,8814582800;20,4043090300;37,2357130100;42,3599720000
South Sudan;2010 M;0,5809513930;91,9156849400;63,2048130000;9253,3284810000;11241,9599600000;6,2970519070;74,4706094300;14,0824675600;39,5081549900;46,4093715000
Somalia;2006 M;0,5175651910;82,2242498400;62,9455626000;8813,0557490000;11772,8652300000;8,7228775020;67,4694240100;17,3328951000;34,9442005200;47,7228969300
Chad;2014/2015 D;0,5347818140;85,8622491400;62,2836887800;12028,7970900000;12409,2783200000;9,7497761250;66,1580026100;20,2214241000;34,3283057200;45,4502612400
Burkina Faso;2010 D;0,5202287440;84,0097129300;61,9248330600;13109,8980000000;15664,8154300000;7,2711288930;64,8448646100;20,1539188600;40,5458152300;39,3002599500
Ethiopia;2016 D;0,4899789090;83,8200926800;58,4560215500;85834,4571500000;85834,4531300000;8,7096214290;61,8358731300;27,7996540100;25,7356077400;46,4647322900
Madagascar;2008/2009 D;0,4530465900;77,7905345000;58,2392931000;16000,8291700000;19365,6035200000;11,7771267900;57,2532653800;22,0732420700;41,6046798200;36,3220661900
Mali;2015 M;0,4571144580;78,1094014600;58,5223376800;13644,0752600000;14055,6601600000;10,8536303000;56,6695570900;19,9694261000;29,2378306400;50,7927417800
Central African Republic;2010 M;0,4648637770;79,3602943400;58,5763692900;3530,3624550000;3646,3049320000;13,1218969800;54,7228992000;17,5591811500;31,7410349800;50,6997764100
Mozambique;2011 D;0,4116793270;72,5404799000;56,7516684500;18090,8746300000;20913,0410200000;13,5402858300;49,2422133700;17,3512280000;32,4421227000;50,2066433400
Sierra Leone;2013 D;0,4219103460;76,4910697900;55,1581203900;5294,7723560000;5657,4248050000;14,3674194800;48,4066903600;27,0878076600;32,1986615700;40,7135218400
Burundi;2016/2017 D;0,4039261640;74,3298351800;54,3423950700;8075,3754020000;7822,5590820000;16,2341356300;45,3747749300;21,4387893700;33,8670611400;44,6941465100
Congo (Democratic Republic of the);2013/2014 D;0,3780441280;72,4568784200;52,1750509700;53417,2823199999;57049,7617200000;17,6896512500;42,2357529400;21,2068468300;32,0161104200;46,7770338100
Guinea-Bissau;2014 M;0,3732124270;67,4156248600;55,3599298000;1163,4211010000;1224,0642090000;19,0603911900;40,4652684900;23,3204007100;27,6565253700;49,0230679500
Guinea;2016 M;0,3373447360;61,9500100600;54,4543445100;7679,2761650000;7679,2758790000;17,1446681000;38,1232619300;21,0559502200;35,4074746400;43,5365676900
Benin;2014 M;0,3462156360;63,2350683200;54,7505736400;6504,8093610000;6875,1049800000;16,0679698000;38,0483061100;18,9211398400;38,5845929400;42,4942642500
Liberia;2013 D;0,3305969240;64,8969531100;50,9418249100;2781,6722600000;2994,2307130000;20,3947603700;33,1545382700;23,3594492100;27,4416983100;49,1988480100
Nigeria;2016/2017 M;0,2944324610;51,9505024000;56,6755712000;99166,3970500000;96622,5546900000;16,8601751300;32,6726138600;21,4249163900;45,5958545200;32,9792231300
Angola;2015/2016 D;0,2827341850;51,1662244800;55,2579700900;14742,7611600000;14742,7607400000;15,4937267300;32,4575513600;23,4968096000;28,0764997000;48,4266817600
Senegal;2016 D;0,2934686240;54,4312059900;53,9155125600;8388,7273620000;8388,7275390000;17,2123014900;32,0491164900;21,1166515900;29,1231453400;49,7602015700
Gambia;2013 D;0,2864345010;55,2863776700;51,8092393900;1027,9528890000;1127,0133060000;21,7573761900;32,0385009100;24,9926701200;18,8597470500;56,1475753800
Sudan;2014 M;0,2798447310;52,3967027700;53,4088432800;19773,4226300000;20738,0000000000;17,6459193200;30,8900564900;21,2305218000;37,8128171000;40,9566611100
Mauritania;2015 M;0,2610734700;50,6005644800;51,5949726100;2116,2880530000;2176,3393550000;18,5603380200;26,4386266500;28,6728292700;38,5267138500;32,8004568800
Tanzania (United Republic of);2015/2016 D;0,2746314110;55,6307911900;49,3667960200;30915,2539800000;30915,2539100000;24,1036891900;26,1320740000;28,2893151000;34,2902898800;37,4203920400
Cameroon;2014 M;0,2437330630;45,3988581900;53,6870479600;10096,6624800000;10641,1240200000;17,3162072900;25,8123129600;22,2441658400;38,5101109700;39,2457187200
Uganda;2016 D;0,2789449390;56,7606568300;49,1440683600;23548,8414400000;23548,8418000000;23,9244103400;25,4226118300;21,8360140900;28,2541453800;49,9098360500
Afghanistan;2015/2016 D;0,2733019290;56,0999751100;48,7169414800;19442,0247600000;19442,0253900000;18,0073559300;25,1316845400;20,3100070400;33,0872178100;46,6027677100
Pakistan;2012/2013 D;0,2283481810;43,8774257900;52,0422935500;79730,8068300000;84772,7109400000;14,5311147000;24,7361257700;19,6915850000;40,3530985100;39,9553090300
Côte d'Ivoire;2016 M;0,2361806630;46,1073845600;51,2240409900;10925,5689600000;10925,5693400000;17,5652474200;24,5055392400;21,0097119200;27,4271458400;51,5631318100
Togo;2013/2014 D;0,2497947960;48,3663082100;51,6464471800;3496,3593090000;3678,9223630000;21,8113660800;24,4137629900;28,3813238100;30,7069331400;40,9117400600
Zambia;2013/2014 D;0,2622633870;53,3787727400;49,1325229400;8338,2842110000;8856,2802730000;22,4028348900;24,3467658800;21,3330745700;22,8312477500;55,8356702300
Yemen;2013 D;0,2411758600;47,7747529700;50,4818618300;12219,0246600000;13178,2900400000;22,0644801900;23,9019230000;23,7428396900;21,7174559800;54,5396983600
Rwanda;2014/2015 D;0,2660883370;55,8417737500;47,6504087400;6494,1486740000;6654,9477540000;24,9259591100;22,9481384200;23,8884806600;22,4638819700;53,6476254500
Haiti;2012 D;0,2312296330;47,5952625300;48,5824912800;4897,1765120000;5162,8168950000;20,4075694100;22,5209280800;26,3591826000;36,3557040700;37,2851133300
Lao People's Democratic Republic;2011/2012 M/D;0,2112090590;40,4925823200;52,1599412000;2597,6675480000;2736,6315920000;18,7132239300;21,9984799600;10,3777788600;44,7802603200;44,8419570900
Malawi;2015/2016 D;0,2436680350;52,7264177800;46,2136507000;9539,0388900000;9539,0390630000;28,3574402300;18,5075044600;15,8449664700;27,8893619800;56,2656700600
Timor-Leste;2016 D;0,2108668830;46,0464716000;45,7943648100;584,1782317000;584,1782227000;25,9528577300;16,4939329000;20,9123268700;31,5085589900;47,5791096700
Comoros;2012 D/M;0,1813694690;37,3669952200;48,5373437400;270,4877135000;297,2922058000;22,2100347300;16,2092253600;14,7767350100;29,6895593400;55,5337011800
Bangladesh;2014 D;0,1943804470;41,0651803000;47,3346144000;65460,0656400000;66916,3515600000;21,5420842200;16,2065133500;22,9213953000;29,5856773900;47,4929213500
Djibouti;2006 M;0,1696526260;34,6274048100;48,9937424700;275,7061707000;326,3054504000;18,5039550100;15,6762957600;24,2260217700;36,6019308600;39,1720444000
Congo;2011/2012 D;0,1847389340;40,4170781400;45,7081377500;1872,6698630000;2071,7070310000;25,7071942100;15,4873654200;18,8486769800;32,9195559000;48,2317715900
Bhutan;2010 M;0,1748639940;37,3411297800;46,8287915000;271,7093664000;297,8944702000;17,6759421800;14,6763086300;26,6306430100;34,8258793400;38,5434806300
Myanmar;2015/2016 D;0,1760725530;38,3469164400;45,9156990100;20279,8522700000;20279,8515600000;21,8962907800;13,8864770500;20,7716733200;23,0609715000;56,1673522000
Kenya;2014 D;0,1788792760;38,8702064800;46,0196346000;17889,7210000000;18837,1113300000;34,7160488400;13,4472891700;25,0765979300;14,5414292800;60,3819668300
Namibia;2013 D;0,1829551910;40,5927181200;45,0709402600;940,3384339000;1006,5828860000;19,2517697800;12,8795921800;21,7220380900;26,5435218800;51,7344415200
Cambodia;2014 D;0,1579795930;34,8881483100;45,2817350600;5327,6958630000;5499,1992190000;21,0500478700;12,0336338900;18,5678899300;32,2406709200;49,1914391500
Nepal;2016 D;0,1536329540;35,2535665000;43,5794055500;10217,4604500000;10217,4609400000;24,3268191800;11,9907230100;28,1024247400;24,0933895100;47,8041768100
Guatemala;2014/2015 D;0,1344462190;29,0705442400;46,2482661000;4724,6695630000;4820,6137700000;21,0850954100;11,2895466400;27,1749854100;13,2395356900;59,5854759200
Vanuatu;2007 M;0,1738829020;38,7627720800;44,8582232000;85,2598800800;104,8153152000;32,2951614900;10,1580284500;24,3743926300;45,9542244700;29,6713858800
Ghana;2014 D;0,1315306570;28,9220064900;45,4777061900;7798,1142200000;8157,9516600000;21,4099198600;9,5956102010;25,6202310300;42,0784294600;32,3013365300
Zimbabwe;2015 D;0,1488741790;34,6885174500;42,9174244400;5472,9638440000;5602,3212890000;26,2697368900;8,7576225400;20,4101860500;31,7843139200;47,8054940700
Lesotho;2014 D;0,1461637170;33,6366564000;43,4537023300;721,7702940000;741,2916870000;24,4797140400;8,6008988320;20,6603124700;33,2409501100;46,0987359300
India;2015/2016 D;0,1207622220;27,5058805900;43,9041465500;364225,0041000000;364225,0000000000;19,1198438400;8,5912942890;11,2369805600;36,3842308500;52,3787856100
Bolivia (Plurinational State of);2008 D;0,0940092430;20,4504087600;45,9693700100;1963,2096900000;2226,6164550000;15,6462505500;7,1057982740;31,5195888300;13,9594748600;54,5209348200
Honduras;2011/2012 D;0,0903992580;19,4873079700;46,3887840500;1657,5215280000;1775,8525390000;22,1772804900;6,6049382090;21,3508635800;22,4576354000;56,1914980400
Morocco;2011 P;0,0848163290;18,5664206700;45,6826508000;6100,7074920000;6549,6362300000;13,1515026100;6,4891152080;31,5152108700;22,1357196600;46,3490724600
Nicaragua;2011/2012 D;0,0736757440;16,3044035400;45,1876372100;958,2273887000;1002,7091060000;13,2409662000;5,5140666660;31,6277980800;23,5860794800;44,7861164800
