"SeriesCode","Year","DESCRIPTION",
"SP.DYN.AMRT.FE","YR1960","Interpolated using data for 1957 and 1962, if the data source is United Nations World Population Prospects.",
"SP.DYN.AMRT.MA","YR1960","Interpolated using data for 1957 and 1962, if the data source is United Nations World Population Prospects.",
"SP.DYN.AMRT.MA","YR1961","Interpolated using data for 1957 and 1962, if the data source is United Nations World Population Prospects.",
"SP.DYN.AMRT.FE","YR1961","Interpolated using data for 1957 and 1962, if the data source is United Nations World Population Prospects.",
"SP.DYN.AMRT.FE","YR1962","The data refer to 1960-1965, if the data source is United Nations World Population Prospects.",
"SP.DYN.AMRT.MA","YR1962","The data refer to 1960-1965, if the data source is United Nations World Population Prospects.",
"SM.POP.NETM","YR1962","The data refer to five-year periods running from 1 July, 1960 to 30 June, 1965.",
"SP.POP.BRTH.MF","YR1962","The data refer to 1960-1965.",
"SP.DYN.AMRT.MA","YR1963","Interpolated using data for 1962 and 1967, if the data source is United Nations World Population Prospects.",
"SP.DYN.AMRT.FE","YR1963","Interpolated using data for 1962 and 1967, if the data source is United Nations World Population Prospects.",
"SP.DYN.AMRT.FE","YR1964","Interpolated using data for 1962 and 1967, if the data source is United Nations World Population Prospects.",
"SP.DYN.AMRT.MA","YR1964","Interpolated using data for 1962 and 1967, if the data source is United Nations World Population Prospects.",
"SP.DYN.AMRT.MA","YR1965","Interpolated using data for 1962 and 1967, if the data source is United Nations World Population Prospects.",
"SP.DYN.AMRT.FE","YR1965","Interpolated using data for 1962 and 1967, if the data source is United Nations World Population Prospects.",
"SP.DYN.AMRT.FE","YR1966","Interpolated using data for 1962 and 1967, if the data source is United Nations World Population Prospects.",
"SP.DYN.AMRT.MA","YR1966","Interpolated using data for 1962 and 1967, if the data source is United Nations World Population Prospects.",
"SP.DYN.AMRT.MA","YR1967","The data refer to 1965-1970, if the data source is United Nations World Population Prospects.",
"SP.DYN.AMRT.FE","YR1967","The data refer to 1965-1970, if the data source is United Nations World Population Prospects.",
"SP.POP.BRTH.MF","YR1967","The data refer to 1965-1970.",
"SM.POP.NETM","YR1967","The data refer to five-year periods running from 1 July, 1965 to 30 June, 1970.",
"SP.DYN.AMRT.FE","YR1968","Interpolated using data for 1967 and 1972, if the data source is United Nations World Population Prospects.",
"SP.DYN.AMRT.MA","YR1968","Interpolated using data for 1967 and 1972, if the data source is United Nations World Population Prospects.",
"SP.DYN.AMRT.MA","YR1969","Interpolated using data for 1967 and 1972, if the data source is United Nations World Population Prospects.",
"SP.DYN.AMRT.FE","YR1969","Interpolated using data for 1967 and 1972, if the data source is United Nations World Population Prospects.",
"SP.DYN.AMRT.FE","YR1970","Interpolated using data for 1967 and 1972, if the data source is United Nations World Population Prospects.",
"SP.DYN.AMRT.MA","YR1970","Interpolated using data for 1967 and 1972, if the data source is United Nations World Population Prospects.",
"SP.DYN.AMRT.MA","YR1971","Interpolated using data for 1967 and 1972, if the data source is United Nations World Population Prospects.",
"SP.DYN.AMRT.FE","YR1971","Interpolated using data for 1967 and 1972, if the data source is United Nations World Population Prospects.",
